"","p","model","FP_mean","FP_sd","FN_mean","FN_sd","auc_mean","auc_sd"
"1",500,"lasso",17.72,15.279933364919,3.6,0.921132372943677,0.814020523006405,0.0562683343247931
"2",500,"rrf",21.97,2.51241362482817,5.5,0.703526470681448,0.709223849206349,0.0676193402155024
"3",500,"ss",41.37,16.0954570414679,3.46,1.03884162372901,0.854658881063385,0.0440830168847134
"4",1000,"lasso",18.35,15.1400032024335,3.61,1.17116017760858,0.803459439090321,0.0562916665741611
"5",1000,"rrf",21.83,2.33140613052607,5.61,0.566666666666667,0.688138412698413,0.0657665437535907
"6",1000,"ss",45.16,15.0115914808484,3.51,1.10549591230416,0.856764655661469,0.0411136319899113
